Name,MH 60  10.08%
Chord(mm),180
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
180.000000,0.000000
179.399844,-0.019298
177.583858,-0.039343
174.573608,0.030431
170.449254,0.250430
165.296824,0.650795
159.222559,1.263152
152.363912,2.092163
144.857353,3.108515
136.831315,4.270743
128.411298,5.526506
119.716985,6.810646
110.844821,8.046121
101.867161,9.173914
92.853360,10.152259
83.868883,10.956949
74.989507,11.579859
66.300824,12.013488
57.887611,12.248510
49.833200,12.275638
42.210880,12.082280
35.081561,11.665429
28.501747,11.029576
22.520923,10.186573
17.184906,9.154377
12.533733,7.954387
8.596789,6.608081
5.383921,5.151375
2.906167,3.640417
1.170684,2.146536
0.280550,0.936151
0.113996,0.553408
0.019660,0.200383
0.000104,-0.013797
0.025799,-0.202765
0.111159,-0.379008
0.253906,-0.559870
0.551898,-0.837821
0.940729,-1.122709
1.132443,-1.245852
3.159673,-2.192823
6.088705,-3.098286
9.873328,-3.922646
14.474173,-4.632350
19.855121,-5.197626
25.984256,-5.603112
32.817865,-5.847788
40.304425,-5.939255
48.375823,-5.896588
56.949959,-5.736562
65.937379,-5.477591
75.242709,-5.139000
84.761372,-4.745045
94.381204,-4.315187
103.986337,-3.868907
113.458653,-3.419404
122.681740,-2.979020
131.542038,-2.554819
139.931262,-2.154226
147.747249,-1.781426
154.893044,-1.442655
161.278205,-1.138185
166.822286,-0.868298
171.455443,-0.628794
175.119302,-0.415609
177.778442,-0.216466
179.427260,-0.058718
180.000000,0.000000
,
Camber line,
X(mm),Y(mm)
0.019660,0.200383
0.000104,-0.006899
0.025799,0.010297
0.111159,0.081892
0.253906,0.157527
0.551898,0.233652
0.940729,0.355570
1.132443,0.424342
3.159673,0.801092
6.088705,1.186318
9.873328,1.560984
14.474173,1.911332
19.855121,2.236638
25.984256,2.535810
32.817865,2.799442
40.304425,3.015778
48.375823,3.171040
56.949959,3.257553
65.937379,3.273025
75.242709,3.211548
84.761372,3.065985
94.381204,2.835621
103.986337,2.519396
113.458653,2.131366
122.681740,1.696868
131.542038,1.252384
139.931262,0.833811
147.747249,0.467906
154.893044,0.171905
161.278205,-0.041133
166.822286,-0.168019
171.455443,-0.216018
175.119302,-0.198913
177.778442,-0.126830
179.427260,-0.038567
180.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
180.000000,0.000000
