Name,NACA 15111 Airfoil cl=0.20 T=11.0% P=25.0%,
Chord(mm),100,
Radius(mm),0,
Thickness(%),100,
Origin(%),100,
Pitch(deg),0,
,,
Airfoil surface,,
X(mm),Y(mm),Z(mm)
0.000000,0.000000,400.0
-0.154300,0.019600,400.0
-0.616000,0.078200,400.0
-1.382200,0.175300,400.0
-2.447900,0.310500,400.0
-3.806200,0.482600,400.0
-5.448200,0.690500,400.0
-7.363400,0.932800,400.0
-9.539800,1.207900,400.0
-11.963400,1.513700,400.0
-14.619200,1.848100,400.0
-17.490800,2.208300,400.0
-20.560300,2.591600,400.0
-23.809000,2.994200,400.0
-27.217300,3.412300,400.0
-30.764400,3.841200,400.0
-34.429000,4.275700,400.0
-38.189100,4.710000,400.0
-42.022100,5.137500,400.0
-45.905000,5.551300,400.0
-49.814600,5.943900,400.0
-53.727100,6.307800,400.0
-57.620800,6.635200,400.0
-61.483100,6.913600,400.0
-65.292100,7.126500,400.0
-69.023300,7.258900,400.0
-72.651400,7.298700,400.0
-76.150400,7.237500,400.0
-79.494400,7.070900,400.0
-82.657700,6.798800,400.0
-85.615200,6.425500,400.0
-88.343700,5.959600,400.0
-90.821600,5.412800,400.0
-93.030200,4.800000,400.0
-94.953300,4.137600,400.0
-96.578200,3.442900,400.0
-97.895100,2.732400,400.0
-98.897800,2.021700,400.0
-99.582800,1.323500,400.0
-99.949500,0.647600,400.0
-100.000000,0.000000,400.0
-99.742300,-0.596000,400.0
-99.186100,-1.120100,400.0
-98.339200,-1.575100,400.0
-97.210500,-1.965000,400.0
-95.809800,-2.295500,400.0
-94.147400,-2.573000,400.0
-92.233900,-2.804400,400.0
-90.080100,-2.996800,400.0
-87.696900,-3.157300,400.0
-85.095500,-3.292400,400.0
-82.287100,-3.407600,400.0
-79.284100,-3.507500,400.0
-76.099400,-3.595100,400.0
-72.747700,-3.671700,400.0
-69.245100,-3.736700,400.0
-65.609600,-3.787600,400.0
-61.861500,-3.819800,400.0
-58.022600,-3.827000,400.0
-54.118800,-3.801600,400.0
-50.185400,-3.740300,400.0
-46.249100,-3.644900,400.0
-42.334500,-3.517900,400.0
-38.466400,-3.361900,400.0
-34.669300,-3.179500,400.0
-30.967300,-2.973600,400.0
-27.383700,-2.747400,400.0
-23.941100,-2.504300,400.0
-20.661200,-2.248200,400.0
-17.564400,-1.983700,400.0
-14.670100,-1.715300,400.0
-11.996000,-1.448400,400.0
-9.558500,-1.188400,400.0
-7.372500,-0.941100,400.0
-5.451200,-0.712200,400.0
-3.805900,-0.507200,400.0
-2.446400,-0.331500,400.0
-1.380800,-0.189500,400.0
-0.615200,-0.085200,400.0
-0.154000,-0.021500,400.0
0.000000,0.000000,400.0
,,
Camber line,,
X(mm),Y(mm),
-100.000000,0.000000,
-99.949500,0.323800,
-99.582800,0.288603,
-98.897800,0.373355,
-97.895100,0.501945,
-96.578200,0.664353,
-94.953300,0.849563,
-93.030200,1.045948,
-90.821600,1.241119,
-88.343700,1.422930,
-85.615200,1.580045,
-82.657700,1.703201,
-79.494400,1.785198,
-76.150400,1.821901,
-72.651400,1.812606,
-69.023300,1.759547,
-65.292100,1.668086,
-61.483100,1.546545,
-57.620800,1.405407,
-53.727100,1.256152,
-49.814600,1.106293,
-45.905000,0.958782,
-42.022100,0.816100,
-38.189100,0.680710,
-34.429000,0.554783,
-30.764400,0.440204,
-27.217300,0.338325,
-23.809000,0.250107,
-20.560300,0.176009,
-17.490800,0.115713,
-14.619200,0.068940,
-11.963400,0.034389,
-9.539800,0.010808,
-7.363400,-0.003608,
-5.448200,-0.010663,
-3.806200,-0.012319,
-2.447900,-0.010597,
-1.382200,-0.007193,
-0.616000,-0.003554,
-0.154300,-0.000971,
0.000000,0.000000,
,,
Chord line,,
X(mm),Y(mm),
-100.000000,0.000000,
0.000000,0.000000,
