Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	9	0	0.00819630008	0	0	0	0	0	0	1000	0	0	0	3
2	11	0	0.0163926002	0	0	0	0	0	0	1000	0	0	0	3
3	13	0	0.0245889002	0	0	0	0	0	0	1000	0	0	0	3
4	15	0	0.0327852003	0	0	0	0	0	0	1000	0	0	0	3
5	17	0	0.0409815004	0	0	0	0	0	0	1000	0	0	0	3
6	19	0	0.0491778005	0	0	0	0	0	0	1000	0	0	0	3
7	22	0	0.0573741006	0	0	0	0	0	0	1000	0	0	0	3
8	24	0	0.0655704007	0	0	0	0	0	0	1000	0	0	0	3
9	26	0	0.0737667007	0	0	0	0	0	0	1000	0	0	0	3
10	28	0	0.0819630008	0	0	0	0	0	0	1000	0	0	0	3
11	30	0	0.0901593009	0	0	0	0	0	0	1000	0	0	0	3
12	32	0	0.098355601	0	0	0	0	0	0	1000	0	0	0	3
13	34	0	0.106551901	0	0	0	0	0	0	1000	0	0	0	3
14	36	0	0.114748201	0	0	0	0	0	0	1000	0	0	0	3
15	38	0	0.122944501	0	0	0	0	0	0	1000	0	0	0	3
16	40	0	0.131140801	0	0	0	0	0	0	1000	0	0	0	3
17	42	0	0.139337101	0	0	0	0	0	0	1000	0	0	0	3
18	44	0	0.147533401	0	0	0	0	0	0	1000	0	0	0	3
19	46	0	0.155729702	0	0	0	0	0	0	1000	0	0	0	3
20	48	0	0.163926002	0	0	0	0	0	0	1000	0	0	0	3
21	50	0	0.172122302	0	0	0	0	0	0	1000	0	0	0	3
22	52	0	0.180318602	0	0	0	0	0	0	1000	0	0	0	3
23	54	0	0.188514902	0	0	0	0	0	0	1000	0	0	0	3
24	56	0	0.196711202	0	0	0	0	0	0	1000	0	0	0	3
25	58	0	0.204907502	0	0	0	0	0	0	1000	0	0	0	3
26	60	0	0.213103802	0	0	0	0	0	0	1000	0	0	0	3
27	62	0	0.221300102	0	0	0	0	0	0	1000	0	0	0	3
28	64	0	0.229496402	0	0	0	0	0	0	1000	0	0	0	3
29	66	0	0.237692702	0	0	0	0	0	0	1000	0	0	0	3
30	67	0	0.245889002	0	0	0	0	0	0	1000	0	0	0	3
31	69	0	0.254085303	0	0	0	0	0	0	1000	0	0	0	3
32	71	0	0.262281603	0	0	0	0	0	0	1000	0	0	0	3
33	73	0	0.270477903	0	0	0	0	0	0	1000	0	0	0	3
34	75	0	0.278674203	0	0	0	0	0	0	1000	0	0	0	3
35	77	0	0.286870503	0	0	0	0	0	0	1000	0	0	0	3
36	79	0	0.295066803	0	0	0	0	0	0	1000	0	0	0	3
37	81	0	0.303263103	0	0	0	0	0	0	1000	0	0	0	3
38	83	0	0.311459403	0	0	0	0	0	0	1000	0	0	0	3
39	85	0	0.319655703	0	0	0	0	0	0	1000	0	0	0	3
40	87	0	0.327852003	0	0	0	0	0	0	1000	0	0	0	3
41	89	0	0.336048303	0	0	0	0	0	0	1000	0	0	0	3
