Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	9	0	0.00819630008	101324.941	101324.941	101324.941	101324.941	0	0	0	1067.2	0	0	3
2	11	0	0.0163926002	101325.002	101324.971	101324.941	101325.002	0.0303080146	0	0	1224.59	0	0	3
3	13	0	0.0245889002	101324.99	101324.977	101324.941	101325.002	0.0365672887	0	0	1211.07	0	0	3
4	15	0	0.0327852003	101324.983	101324.979	101324.941	101325.002	0.0379589519	0	0	1468.93	0	0	3
5	17	0	0.0409815004	101324.984	101324.98	101324.941	101325.002	0.0390238214	0	0	1656.12	0	0	3
6	19	0	0.0491778005	101324.988	101324.981	101324.941	101325.002	0.0404156636	0	0	1734.1	0	0	3
7	22	0	0.0573741006	101324.988	101324.982	101324.941	101325.002	0.0414096743	0	0	1756.23	0	0	3
8	24	0	0.0655704007	101324.991	101324.983	101324.941	101325.002	0.0424794075	0	0	1728.84	0	0	3
9	26	0	0.0737667007	101324.991	101324.984	101324.941	101325.002	0.0433418053	0	0	1714.53	0	0	3
10	28	0	0.0819630008	101324.995	101324.985	101324.941	101325.002	0.0443798367	0	0	1660.37	0	0	3
11	30	0	0.0901593009	101324.995	101324.986	101324.941	101325.002	0.0452649364	0	0	1620.99	0	0	3
12	32	0	0.098355601	101324.996	101324.987	101324.941	101325.002	0.0460408699	0	0	1549.18	0	0	3
13	34	0	0.106551901	101324.994	101324.987	101324.941	101325.002	0.0465725235	0	0	1480.5	0	0	3
14	36	0	0.114748201	101324.996	101324.988	101324.941	101325.002	0.0472037854	0	0	1382.29	0	0	3
15	38	0	0.122944501	101324.996	101324.989	101324.941	101325.002	0.0476967853	0	0	1292.16	0	0	3
16	40	0	0.131140801	101324.996	101324.989	101324.941	101325.002	0.0481573983	0	0	1209.47	0	0	3
17	42	0	0.139337101	101324.995	101324.989	101324.941	101325.002	0.0484781288	0	0	1132.5	0	0	3
18	44	0	0.147533401	101324.993	101324.99	101324.941	101325.002	0.0486805621	0	0	1043.12	0	0	3
19	46	0	0.155729702	101324.992	101324.99	101324.941	101325.002	0.048816564	0	0	956.494	0	0	3
20	48	0	0.163926002	101324.992	101324.99	101324.941	101325.002	0.0489341536	0	0	860.132	0	0	3
21	50	0	0.172122302	101324.991	101324.99	101324.941	101325.002	0.0490007411	0	0	786.542	0	0	3
22	52	0	0.180318602	101324.993	101324.99	101324.941	101325.002	0.0491226441	0	0	718.531	0	0	3
23	54	0	0.188514902	101324.991	101324.99	101324.941	101325.002	0.0491674137	0	0	657.943	0	0	3
24	56	0	0.196711202	101324.992	101324.99	101324.941	101325.002	0.0492595451	0	0	595.69	0	0	3
25	58	0	0.204907502	101324.993	101324.99	101324.941	101325.002	0.0493757126	0	0	536.486	0	0	3
26	60	0	0.213103802	101324.995	101324.99	101324.941	101325.002	0.0495701082	0	0	506.796	0	0	3
27	62	0	0.221300102	101324.996	101324.991	101324.941	101325.002	0.0497640703	0	0	510.055	0	0	3
28	64	0	0.229496402	101324.996	101324.991	101324.941	101325.002	0.0499519063	0	0	506.487	0	0	3
29	66	0	0.237692702	101324.994	101324.991	101324.941	101325.002	0.0500727372	0	0	509.695	0	0	3
30	67	0	0.245889002	101324.995	101324.991	101324.941	101325.002	0.050191141	0	0	506.175	0	0	3
31	69	0	0.254085303	101324.993	101324.991	101324.941	101325.002	0.0502540957	0	0	508.239	0	0	3
32	71	0	0.262281603	101324.992	101324.991	101324.941	101325.002	0.0502751934	0	0	505.496	0	0	3
33	73	0	0.270477903	101324.988	101324.991	101324.941	101325.002	0.0502751934	0	0	507.386	0	0	3
34	75	0	0.278674203	101324.986	101324.991	101324.941	101325.002	0.0502751934	0	0	505.313	0	0	3
35	77	0	0.286870503	101324.984	101324.991	101324.941	101325.002	0.0502751934	0	0	507.199	0	0	3
36	79	0	0.295066803	101324.982	101324.99	101324.941	101325.002	0.0502751934	0	0	505.586	0	0	3
37	81	0	0.303263103	101324.979	101324.99	101324.941	101325.002	0.0502751934	0	0	506.272	0	0	3
38	83	0	0.311459403	101324.979	101324.99	101324.941	101325.002	0.0502751934	0	0	505.178	0	0	3
39	85	0	0.319655703	101324.977	101324.99	101324.941	101325.002	0.0502751934	0	0	505.514	0	0	3
40	87	0	0.327852003	101324.979	101324.989	101324.941	101325.002	0.0502751934	0	0	504.501	0	0	3
41	89	0	0.336048303	101324.98	101324.989	101324.941	101325.002	0.0502751934	0	0	504.605	0	0	3
42	91	0	0.344244603	101324.978	101324.989	101324.941	101325.002	0.0502751934	0	0	503.981	0	0	3
43	93	0	0.352440904	101324.981	101324.989	101324.941	101325.002	0.0502751934	0	0	504.005	0	0	3
44	95	0	0.360637204	101324.979	101324.988	101324.941	101325.002	0.0502751934	0	0	503.323	0	0	3
45	97	0	0.368833504	101324.978	101324.988	101324.941	101325.002	0.0502751934	0	0	503.526	0	0	3
46	99	0	0.377029804	101324.979	101324.988	101324.941	101325.002	0.0502751934	0	0	502.909	0	0	3
47	101	0	0.385226104	101324.979	101324.988	101324.941	101325.002	0.0502751934	0	0	503.141	0	0	3
48	103	0	0.393422404	101324.982	101324.988	101324.941	101325.002	0.0502751934	0	0	502.588	0	0	3
49	105	0	0.401618704	101324.985	101324.988	101324.941	101325.002	0.0502751934	0	0	502.775	0	0	3
50	107	0	0.409815004	101324.986	101324.988	101324.941	101325.002	0.0502751934	0	0	502.064	0	0	3
51	109	0	0.418011304	101324.986	101324.987	101324.941	101325.002	0.0502751934	0	0	502.125	0	0	3
52	111	0	0.426207604	101324.984	101324.987	101324.941	101325.002	0.0502751934	0	0	501.427	0	0	3
53	113	0	0.434403904	101324.981	101324.987	101324.941	101325.002	0.0502751934	0	0	501.597	0	0	3
54	115	0	0.442600204	101324.976	101324.987	101324.941	101325.002	0.0502751934	0	0	500.878	0	0	3
55	117	0	0.450796505	101324.972	101324.987	101324.941	101325.002	0.0502751934	0	0	501.068	0	0	3
56	119	0	0.458992805	101324.971	101324.987	101324.941	101325.002	0.0502751934	0	0	500.374	0	0	3
57	121	0	0.467189105	101324.975	101324.986	101324.941	101325.002	0.0502751934	0	0	500.621	0	0	3
58	123	0	0.475385405	101324.98	101324.986	101324.941	101325.002	0.0502751934	0	0	499.997	0	0	3
59	125	0	0.483581705	101324.986	101324.986	101324.941	101325.002	0.0502751934	0	0	500.298	0	0	3
60	127	0	0.491778005	101324.988	101324.986	101324.941	101325.002	0.0502751934	0	0	499.685	0	0	3
61	129	0	0.499974305	101324.989	101324.986	101324.941	101325.002	0.0502751934	0	0	500.006	0	0	3
62	130	0	0.508170605	101324.986	101324.986	101324.941	101325.002	0.0502751934	0	0	499.517	0	0	3
63	132	0	0.516366905	101324.984	101324.987	101324.971	101325.002	0.0199671787	0	0	499.691	0	0	3
64	134	0	0.524563205	101324.978	101324.987	101324.971	101324.996	0.0137079047	0	0	498.99	0	0	3
65	136	0	0.532759505	101324.975	101324.986	101324.971	101324.996	0.0123162414	0	0	499.208	0	0	3
66	138	0	0.540955805	101324.977	101324.986	101324.971	101324.996	0.011251372	0	0	498.655	0	0	3
67	140	0	0.549152106	101324.981	101324.986	101324.971	101324.996	0.00985952976	0	0	499.034	0	0	3
68	142	0	0.557348406	101324.982	101324.986	101324.971	101324.996	0.00886551903	0	0	498.516	0	0	3
69	144	0	0.565544706	101324.984	101324.986	101324.971	101324.996	0.00779578586	0	0	498.971	0	0	3
70	146	0	0.573741006	101324.989	101324.986	101324.971	101324.996	0.0069333881	0	0	498.424	0	0	3
71	148	0	0.581937306	101324.988	101324.986	101324.971	101324.996	0.00589535669	0	0	498.896	0	0	3
72	150	0	0.590133606	101324.986	101324.986	101324.971	101324.996	0.00538141611	0	0	498.341	0	0	3
73	152	0	0.598329906	101324.98	101324.986	101324.971	101324.996	0.00561690757	0	0	498.783	0	0	3
74	154	0	0.606526206	101324.973	101324.985	101324.971	101324.996	0.00597866173	0	0	498.31	0	0	3
75	156	0	0.614722506	101324.973	101324.985	101324.971	101324.996	0.00631471655	0	0	498.681	0	0	3
76	158	0	0.622918806	101324.972	101324.984	101324.971	101324.996	0.00670981727	0	0	498.238	0	0	3
77	160	0	0.631115106	101324.976	101324.984	101324.971	101324.996	0.00702436012	0	0	498.621	0	0	3
78	162	0	0.639311406	101324.981	101324.984	101324.971	101324.996	0.00727194073	0	0	498.128	0	0	3
79	164	0	0.647507707	101324.986	101324.984	101324.971	101324.996	0.00741395647	0	0	498.628	0	0	3
80	166	0	0.655704007	101324.991	101324.984	101324.971	101324.996	0.00744721736	0	0	498.219	0	0	3
81	168	0	0.663900307	101324.99	101324.984	101324.971	101324.996	0.00748708687	0	0	498.562	0	0	3
82	170	0	0.672096607	101324.984	101324.984	101324.971	101324.996	0.00761563962	0	0	498.113	0	0	3
83	172	0	0.680292907	101324.977	101324.983	101324.971	101324.996	0.00784415737	0	0	498.506	0	0	3
84	174	0	0.688489207	101324.975	101324.983	101324.971	101324.996	0.00813576338	0	0	498.119	0	0	3
85	176	0	0.696685507	101324.972	101324.983	101324.971	101324.996	0.00845117574	0	0	498.59	0	0	3
86	178	0	0.704881807	101324.974	101324.982	101324.971	101324.996	0.00875029824	0	0	498.211	0	0	3
87	180	0	0.713078107	101324.976	101324.982	101324.971	101324.996	0.00902134138	0	0	498.652	0	0	3
88	182	0	0.721274407	101324.982	101324.982	101324.971	101324.996	0.00924336024	0	0	498.214	0	0	3
89	184	0	0.729470707	101324.985	101324.982	101324.971	101324.996	0.00941741841	0	0	498.549	0	0	3
90	186	0	0.737667007	101324.986	101324.982	101324.971	101324.995	0.00957508176	0	0	498.021	0	0	3
91	188	0	0.745863308	101324.986	101324.981	101324.971	101324.995	0.00971386886	0	0	498.428	0	0	3
92	190	0	0.754059608	101324.984	101324.981	101324.971	101324.993	0.0098849526	0	0	497.909	0	0	3
93	192	0	0.762255908	101324.982	101324.981	101324.971	101324.992	0.010069768	0	0	498.336	0	0	3
94	193	0	0.770452208	101324.98	101324.981	101324.971	101324.991	0.0101573005	0	0	497.841	0	0	3
95	195	0	0.778648508	101324.979	101324.981	101324.971	101324.991	0.0101488741	0	0	498.236	0	0	3
96	197	0	0.786844808	101324.981	101324.981	101324.971	101324.991	0.0100257361	0	0	497.653	0	0	3
97	199	0	0.795041108	101324.98	101324.981	101324.971	101324.991	0.00983095328	0	0	498.007	0	0	3
98	201	0	0.803237408	101324.981	101324.981	101324.971	101324.991	0.00951984356	0	0	497.479	0	0	3
