Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	9	0	0.00819630008	293.199909	293.199909	293.199909	293.199909	0	0	0	0.279738	0	0	3
2	11	0	0.0163926002	293.199909	293.199909	293.199909	293.199909	3.20721654e-007	0	0	0.28142	0	0	3
3	13	0	0.0245889002	293.199908	293.199909	293.199908	293.199909	7.20263529e-007	0	0	0.282728	0	0	3
4	15	0	0.0327852003	293.199907	293.199908	293.199907	293.199909	1.13885528e-006	0	0	0.283993	0	0	3
5	17	0	0.0409815004	293.199906	293.199908	293.199906	293.199909	1.57516092e-006	0	0	0.284296	0	0	3
6	19	0	0.0491778005	293.199904	293.199907	293.199904	293.199909	2.1558314e-006	0	0	0.285393	0	0	3
7	22	0	0.0573741006	293.199902	293.199907	293.199902	293.199909	2.89849845e-006	0	0	0.284784	0	0	3
8	24	0	0.0655704007	293.1999	293.199906	293.1999	293.199909	3.76825903e-006	0	0	0.285116	0	0	3
9	26	0	0.0737667007	293.199897	293.199905	293.199897	293.199909	4.7289202e-006	0	0	0.283763	0	0	3
10	28	0	0.0819630008	293.199894	293.199904	293.199894	293.199909	5.75691826e-006	0	0	0.28385	0	0	3
11	30	0	0.0901593009	293.199893	293.199903	293.199893	293.199909	6.68552792e-006	0	0	0.281824	0	0	3
12	32	0	0.098355601	293.199891	293.199902	293.199891	293.199909	7.67191131e-006	0	0	0.282304	0	0	3
13	34	0	0.106551901	293.199887	293.199901	293.199887	293.199909	8.77411549e-006	0	0	0.280392	0	0	3
14	36	0	0.114748201	293.199885	293.1999	293.199885	293.199909	9.90496466e-006	0	0	0.279934	0	0	3
15	38	0	0.122944501	293.199882	293.199898	293.199882	293.199909	1.10953351e-005	0	0	0.279693	0	0	3
16	40	0	0.131140801	293.199877	293.199897	293.199877	293.199909	1.24271676e-005	0	0	0.279121	0	0	3
17	42	0	0.139337101	293.199872	293.199896	293.199872	293.199909	1.3899958e-005	0	0	0.278002	0	0	3
18	44	0	0.147533401	293.199867	293.199894	293.199867	293.199909	1.55040485e-005	0	0	0.279658	0	0	3
19	46	0	0.155729702	293.199861	293.199892	293.199861	293.199909	1.72399515e-005	0	0	0.278908	0	0	3
20	48	0	0.163926002	293.199855	293.19989	293.199855	293.199909	1.90961224e-005	0	0	0.287195	0	0	3
21	50	0	0.172122302	293.199845	293.199888	293.199845	293.199909	2.12543856e-005	0	0	0.297844	0	0	3
22	52	0	0.180318602	293.199837	293.199886	293.199837	293.199909	2.35978708e-005	0	0	0.302294	0	0	3
23	54	0	0.188514902	293.199827	293.199883	293.199827	293.199909	2.61492145e-005	0	0	0.303849	0	0	3
24	56	0	0.196711202	293.199819	293.199881	293.199819	293.199909	2.88244192e-005	0	0	0.301355	0	0	3
25	58	0	0.204907502	293.199813	293.199878	293.199813	293.199909	3.15196762e-005	0	0	0.296759	0	0	3
26	60	0	0.213103802	293.199809	293.199875	293.199809	293.199909	3.41677053e-005	0	0	0.28646	0	0	3
27	62	0	0.221300102	293.199802	293.199873	293.199802	293.199909	3.68706379e-005	0	0	0.277138	0	0	3
28	64	0	0.229496402	293.199794	293.19987	293.199794	293.199909	3.96698757e-005	0	0	0.27781	0	0	3
29	66	0	0.237692702	293.199786	293.199867	293.199786	293.199909	4.25524611e-005	0	0	0.277891	0	0	3
30	67	0	0.245889002	293.199783	293.199864	293.199783	293.199909	4.53345217e-005	0	0	0.279445	0	0	3
31	69	0	0.254085303	293.199784	293.199861	293.199783	293.199909	4.79163325e-005	0	0	0.278969	0	0	3
32	71	0	0.262281603	293.199792	293.199859	293.199783	293.199909	5.00730714e-005	0	0	0.27868	0	0	3
33	73	0	0.270477903	293.1998	293.199858	293.199783	293.199909	5.18684414e-005	0	0	0.277636	0	0	3
34	75	0	0.278674203	293.199808	293.199856	293.199783	293.199909	5.33178613e-005	0	0	0.279328	0	0	3
35	77	0	0.286870503	293.199818	293.199855	293.199783	293.199909	5.4408733e-005	0	0	0.277817	0	0	3
36	79	0	0.295066803	293.199836	293.199854	293.199783	293.199909	5.49380249e-005	0	0	0.278377	0	0	3
37	81	0	0.303263103	293.199851	293.199854	293.199783	293.199909	5.50445294e-005	0	0	0.276922	0	0	3
38	83	0	0.311459403	293.199869	293.199855	293.199783	293.199909	5.50445294e-005	0	0	0.279267	0	0	3
39	85	0	0.319655703	293.199877	293.199855	293.199783	293.199909	5.50445294e-005	0	0	0.274754	0	0	3
40	87	0	0.327852003	293.199886	293.199856	293.199783	293.199909	5.50445294e-005	0	0	0.279192	0	0	3
41	89	0	0.336048303	293.199894	293.199857	293.199783	293.199909	5.50445294e-005	0	0	0.275501	0	0	3
42	91	0	0.344244603	293.19989	293.199858	293.199783	293.199909	5.50445294e-005	0	0	0.282364	0	0	3
43	93	0	0.352440904	293.199897	293.199859	293.199783	293.199909	5.50445294e-005	0	0	0.275563	0	0	3
44	95	0	0.360637204	293.1999	293.19986	293.199783	293.199909	5.50445294e-005	0	0	0.28079	0	0	3
45	97	0	0.368833504	293.199904	293.199861	293.199783	293.199909	5.50445294e-005	0	0	0.276582	0	0	3
46	99	0	0.377029804	293.199912	293.199862	293.199783	293.199912	5.50445294e-005	0	0	0.280591	0	0	3
47	101	0	0.385226104	293.199911	293.199863	293.199783	293.199912	5.50445294e-005	0	0	0.277255	0	0	3
48	103	0	0.393422404	293.199912	293.199864	293.199783	293.199912	5.50445294e-005	0	0	0.279767	0	0	3
49	105	0	0.401618704	293.199907	293.199865	293.199783	293.199912	5.50445294e-005	0	0	0.274864	0	0	3
50	107	0	0.409815004	293.1999	293.199865	293.199783	293.199912	5.50445294e-005	0	0	0.280063	0	0	3
51	109	0	0.418011304	293.199892	293.199866	293.199783	293.199912	5.50445294e-005	0	0	0.276743	0	0	3
52	111	0	0.426207604	293.199888	293.199866	293.199783	293.199912	5.50445294e-005	0	0	0.279363	0	0	3
53	113	0	0.434403904	293.199889	293.199867	293.199783	293.199912	5.50445294e-005	0	0	0.276442	0	0	3
54	115	0	0.442600204	293.199894	293.199867	293.199783	293.199912	5.50445294e-005	0	0	0.279045	0	0	3
55	117	0	0.450796505	293.199897	293.199868	293.199783	293.199912	5.50445294e-005	0	0	0.275892	0	0	3
56	119	0	0.458992805	293.199902	293.199868	293.199783	293.199912	5.50445294e-005	0	0	0.279151	0	0	3
57	121	0	0.467189105	293.199908	293.199869	293.199783	293.199912	5.50445294e-005	0	0	0.275351	0	0	3
58	123	0	0.475385405	293.199913	293.19987	293.199783	293.199913	5.50445294e-005	0	0	0.279408	0	0	3
59	125	0	0.483581705	293.199914	293.199871	293.199783	293.199914	5.50445294e-005	0	0	0.275682	0	0	3
60	127	0	0.491778005	293.199908	293.199871	293.199783	293.199914	5.50445294e-005	0	0	0.278985	0	0	3
61	129	0	0.499974305	293.199905	293.199872	293.199783	293.199914	5.50445294e-005	0	0	0.274629	0	0	3
62	130	0	0.508170605	293.199903	293.199872	293.199783	293.199914	5.50445294e-005	0	0	0.279455	0	0	3
63	132	0	0.516366905	293.199916	293.199872	293.199783	293.199916	5.47238078e-005	0	0	0.274592	0	0	3
64	134	0	0.524563205	293.199918	293.199873	293.199783	293.199918	5.43242659e-005	0	0	0.278944	0	0	3
65	136	0	0.532759505	293.199918	293.199873	293.199783	293.199918	5.39056741e-005	0	0	0.274034	0	0	3
66	138	0	0.540955805	293.199924	293.199873	293.199783	293.199924	5.34693685e-005	0	0	0.27894	0	0	3
67	140	0	0.549152106	293.199931	293.199873	293.199783	293.199931	5.2888698e-005	0	0	0.275088	0	0	3
68	142	0	0.557348406	293.199928	293.199874	293.199783	293.199931	5.2146031e-005	0	0	0.278841	0	0	3
69	144	0	0.565544706	293.199915	293.199874	293.199783	293.199931	5.12762704e-005	0	0	0.276723	0	0	3
70	146	0	0.573741006	293.199909	293.199874	293.199783	293.199931	5.03156092e-005	0	0	0.278869	0	0	3
71	148	0	0.581937306	293.199899	293.199874	293.199783	293.199931	4.92876111e-005	0	0	0.275253	0	0	3
72	150	0	0.590133606	293.199899	293.199874	293.199783	293.199931	4.83590015e-005	0	0	0.277914	0	0	3
73	152	0	0.598329906	293.199906	293.199874	293.199783	293.199931	4.73726181e-005	0	0	0.274069	0	0	3
74	154	0	0.606526206	293.199908	293.199875	293.199783	293.199931	4.62704139e-005	0	0	0.277555	0	0	3
75	156	0	0.614722506	293.199924	293.199875	293.199783	293.199931	4.51395647e-005	0	0	0.274216	0	0	3
76	158	0	0.622918806	293.199927	293.199876	293.199783	293.199931	4.39491943e-005	0	0	0.279849	0	0	3
77	160	0	0.631115106	293.199934	293.199877	293.199783	293.199934	4.26173618e-005	0	0	0.275498	0	0	3
78	162	0	0.639311406	293.199932	293.199878	293.199783	293.199934	4.11445714e-005	0	0	0.278526	0	0	3
79	164	0	0.647507707	293.199923	293.199879	293.199783	293.199934	3.95404809e-005	0	0	0.275231	0	0	3
80	166	0	0.655704007	293.199918	293.199879	293.199783	293.199934	3.78045779e-005	0	0	0.277348	0	0	3
81	168	0	0.663900307	293.199912	293.19988	293.199783	293.199934	3.5948407e-005	0	0	0.274051	0	0	3
82	170	0	0.672096607	293.199904	293.199881	293.199783	293.199934	3.37901438e-005	0	0	0.278231	0	0	3
83	172	0	0.680292907	293.199893	293.199882	293.199783	293.199934	3.14466586e-005	0	0	0.27634	0	0	3
